elevasi;volume;area;;;;;;;;;;
228.90;2.968.888.74;2.926.951.78;;;;;;;;;;
228.91;2.998.251.90;2.945.680.26;;;;;;;;;;
228.92;3.027.802.34;2.964.408.74;;;;;;;;;;
228.93;3.057.540.07;2.983.137.21;;;;;;;;;;
228.94;3.087.465.08;3.001.865.69;;;;;;;;;;
228.95;3.117.577.38;3.020.594.17;;;;;;;;;;
228.96;3.147.876.97;3.039.322.64;;;;;;;;;;
228.97;3.178.363.84;3.058.051.12;;;;;;;;;;
228.98;3.209.037.99;3.076.779.60;;;;;;;;;;
228.99;3.239.899.43;3.095.508.07;;;;;;;;;;
229.00;3.270.948.15;3.114.236.55;;;;;;;;;;
229.01;3.302.224.24;3.140.980.28;;;;;;;;;;
229.02;3.333.767.76;3.167.724.00;;;;;;;;;;
229.03;3.365.578.72;3.194.467.73;;;;;;;;;;
229.04;3.397.657.11;3.221.211.46;;;;;;;;;;
229.05;3.430.002.95;3.247.955.19;;;;;;;;;;
229.06;3.462.616.22;3.274.698.92;;;;;;;;;;
229.07;3.495.496.92;3.301.442.65;;;;;;;;;;
229.08;3.528.645.07;3.328.186.37;;;;;;;;;;
229.09;3.562.060.65;3.354.930.10;;;;;;;;;;
229.10;3.595.743.67;3.381.673.83;;;;;;;;;;
229.11;3.629.694.13;3.408.417.56;;;;;;;;;;
229.12;3.663.912.02;3.435.161.29;;;;;;;;;;
229.13;3.698.397.35;3.461.905.01;;;;;;;;;;
229.14;3.733.150.12;3.488.648.74;;;;;;;;;;
229.15;3.768.170.33;3.515.392.47;;;;;;;;;;
229.16;3.803.457.97;3.542.136.20;;;;;;;;;;
229.17;3.839.013.05;3.568.879.93;;;;;;;;;;
229.18;3.874.835.57;3.595.623.65;;;;;;;;;;
229.19;3.910.925.53;3.622.367.38;;;;;;;;;;
229.20;3.947.282.92;3.649.111.11;;;;;;;;;;
229.21;3.983.907.75;3.675.854.84;;;;;;;;;;
229.22;4.020.800.01;3.702.598.57;;;;;;;;;;
229.23;4.057.959.72;3.729.342.30;;;;;;;;;;
229.24;4.095.386.86;3.756.086.02;;;;;;;;;;
229.25;4.133.081.44;3.782.829.75;;;;;;;;;;
229.26;4.171.043.46;3.809.573.48;;;;;;;;;;
229.27;4.209.272.91;3.836.317.21;;;;;;;;;;
